Date,Open,High,Low,Close
23-April-2018,34493.69,34663.95,34259.27,34450.77,
24-April-2018,34491.38,34706.71,34465.49,34616.64,
25-April-2018,34593.17,34631.27,34400.56,34501.27,
26-April-2018,34532.95,34747.97,34505.62,34713.60,
27-April-2018,34747.04,35065.37,34744.73,34969.70,
30-April-2018,35021.20,35213.30,35004.00,35160.36,
2-May-2018,35328.91,35357.15,35072.42,35176.42,
3-May-2018,35257.31,35257.31,35020.08,35103.14,
4-May-2018,35144.96,35206.55,34847.61,34915.38,
7-May-2018,34983.59,35259.81,34977.74,35208.14,
8-May-2018,35349.85,35388.87,35136.01,35216.32,
9-May-2018,35198.08,35404.83,35134.20,35319.35,
10-May-2018,35353.96,35500.76,35203.85,35246.27,
11-May-2018,35287.99,35596.15,35262.06,35535.79,
14-May-2018,35555.83,35642.72,35456.56,35556.71,
15-May-2018,35537.85,35993.53,35497.92,35543.94,
16-May-2018,35452.35,35543.89,35241.63,35387.88,
17-May-2018,35483.62,35510.01,35087.82,35149.12,
18-May-2018,35143.59,35163.11,34821.62,34848.30,
21-May-2018,34873.16,34973.95,34593.82,34616.13,
22-May-2018,34601.49,34754.60,34550.22,34651.24,
23-May-2018,34656.63,34668.47,34302.89,34344.91,
24-May-2018,34404.14,34741.46,34367.83,34663.11,
25-May-2018,34753.47,35017.93,34700.52,34924.87,
28-May-2018,35074.32,35240.96,35006.50,35165.48,
29-May-2018,35213.14,35234.14,34922.18,34949.24,
30-May-2018,34876.13,35017.45,34735.11,34906.11,
31-May-2018,35083.81,35416.03,34926.08,35322.38,
1-June-2018,35373.98,35438.22,35177.35,35227.26,
4-June-2018,35503.24,35555.59,34982.25,35011.89,
5-June-2018,35029.45,35073.12,34784.68,34903.21,
6-June-2018,34932.49,35230.54,34896.37,35178.88,
7-June-2018,35278.38,35628.49,35278.38,35463.08,
8-June-2018,35406.47,35484.94,35260.00,35443.67,
11-June-2018,35472.59,35704.84,35444.49,35483.47,
12-June-2018,35525.30,35743.08,35479.07,35692.52,
13-June-2018,35835.44,35877.41,35715.96,35739.16,
14-June-2018,35743.10,35749.88,35488.55,35599.82,
15-June-2018,35656.26,35675.20,35419.68,35622.14,
18-June-2018,35698.43,35721.55,35518.73,35548.26,
19-June-2018,35552.47,35552.47,35249.06,35286.74,
20-June-2018,35329.61,35571.37,35329.51,35547.33,
21-June-2018,35644.05,35678.69,35396.97,35432.39,
22-June-2018,35428.42,35741.26,35344.49,35689.60,
25-June-2018,35783.75,35806.97,35430.11,35470.35,
26-June-2018,35355.72,35616.64,35338.09,35490.04,
27-June-2018,35543.89,35618.85,35154.21,35217.11,
28-June-2018,35207.19,35282.40,34937.15,35037.64,
29-June-2018,35128.16,35459.05,35099.65,35423.48,
2-July-2018,35545.22,35578.24,35106.57,35264.41,
3-July-2018,35344.21,35445.21,35195.63,35378.60,
4-July-2018,35385.52,35667.31,35309.67,35645.40,
5-July-2018,35703.17,35748.26,35517.79,35574.55,
6-July-2018,35543.66,35799.71,35532.21,35657.86,
9-July-2018,35835.10,35977.37,35779.72,35934.72,
10-July-2018,36068.27,36274.33,36019.63,36239.62,
11-July-2018,36299.26,36362.30,36169.70,36265.93,
12-July-2018,36424.23,36699.53,36422.08,36548.41,
13-July-2018,36635.14,36740.07,36501.61,36541.63,
16-July-2018,36658.71,36658.71,36298.94,36323.77,
17-July-2018,36390.99,36549.55,36261.78,36519.96,
18-July-2018,36722.41,36747.87,36320.92,36373.44,
19-July-2018,36509.08,36515.58,36279.33,36351.23,
20-July-2018,36377.03,36567.34,36335.61,36496.37,
23-July-2018,36501.05,36749.69,36491.83,36718.60,
24-July-2018,36859.39,36902.06,36709.72,36825.10,
25-July-2018,36928.06,36947.18,36803.15,36858.23,
26-July-2018,36928.38,37061.62,36852.53,36984.64,
27-July-2018,37253.86,37368.62,37134.88,37336.85,
30-July-2018,37491.39,37533.50,37292.45,37494.40,
31-July-2018,37534.95,37644.59,37298.75,37606.58,
1-August-2018,37643.87,37711.87,37432.91,37521.62,
2-August-2018,37529.69,37529.69,37128.99,37165.16,
3-August-2018,37327.16,37582.27,37319.61,37556.16,
6-August-2018,37714.70,37805.25,37643.29,37691.89,
7-August-2018,37849.21,37876.87,37586.88,37665.80,
8-August-2018,37756.24,37931.42,37641.40,37887.56,
9-August-2018,37994.51,38076.23,37939.28,38024.37,
10-August-2018,38050.07,38051.45,37815.75,37869.23,
13-August-2018,37693.19,37799.54,37559.26,37644.90,
14-August-2018,37749.59,37932.40,37689.71,37852.00,
16-August-2018,37796.01,37891.92,37634.13,37663.56,
17-August-2018,37898.60,38022.32,37840.16,37947.88,
20-August-2018,38075.07,38340.69,38050.69,38278.75,
21-August-2018,38360.32,38402.96,38213.87,38285.75,
23-August-2018,38416.65,38487.63,38227.36,38336.76,
24-August-2018,38366.79,38429.50,38172.77,38251.80,
27-August-2018,38472.03,38736.88,38416.73,38694.11,
28-August-2018,38814.76,38938.91,38760.58,38896.63,
29-August-2018,38989.65,38989.65,38679.57,38722.93,
30-August-2018,38796.98,38819.06,38581.83,38690.10,
31-August-2018,38704.84,38838.45,38562.21,38645.07,
3-September-2018,38915.91,38934.35,38270.01,38312.52,
4-September-2018,38460.96,38518.56,38098.60,38157.92,
5-September-2018,38192.95,38250.61,37774.42,38018.31,
6-September-2018,38161.85,38320.96,37912.50,38242.81,
7-September-2018,38314.55,38421.56,38067.22,38389.82,
10-September-2018,38348.39,38354.52,37882.83,37922.17,
11-September-2018,38017.49,38043.27,37361.20,37413.13,
12-September-2018,37546.42,37752.58,37342.00,37717.96,
14-September-2018,37939.29,38125.62,37859.52,38090.64,
17-September-2018,38027.81,38027.81,37548.93,37585.51,
18-September-2018,37660.19,37745.44,37242.85,37290.67,
19-September-2018,37432.93,37530.63,37062.69,37121.22,
21-September-2018,37278.89,37489.24,35993.64,36841.60,
24-September-2018,36924.72,36945.50,36216.95,36305.02,
25-September-2018,36350.25,36705.79,36064.10,36652.06,
26-September-2018,36936.64,36938.74,36357.93,36542.27,
27-September-2018,36691.93,36711.62,36238.23,36324.17,
28-September-2018,36452.74,36551.86,35985.63,36227.14,
1-October-2018,36274.25,36616.64,35960.65,36526.14,
3-October-2018,36602.85,36602.85,35911.82,35975.63,
4-October-2018,35820.53,35820.53,35022.12,35169.16,
5-October-2018,35097.99,35118.54,34202.22,34376.99,
8-October-2018,34412.36,34636.43,33974.66,34474.38,
9-October-2018,34651.82,34711.68,34233.50,34299.47,
10-October-2018,34493.21,34858.35,34346.50,34760.89,
11-October-2018,34063.82,34325.18,33723.53,34001.15,
12-October-2018,34291.92,34808.42,34279.78,34733.58,
15-October-2018,34971.83,35008.65,34559.98,34865.10,
16-October-2018,35004.33,35215.79,34913.06,35162.48,
17-October-2018,35543.38,35605.43,34727.16,34779.58,
19-October-2018,34563.29,34563.29,34140.32,34315.63,
22-October-2018,34689.39,34748.69,34082.76,34134.38,
23-October-2018,33935.88,34073.92,33742.75,33847.23,
24-October-2018,34203.70,34300.97,33726.07,34033.96,
25-October-2018,33778.60,33838.76,33553.18,33690.09,
26-October-2018,33776.80,33776.80,33291.58,33349.31,
